model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_8,0.5,10 Fold-CV,cv_scores,"[-9.14718582e+18 -6.50359679e+20 -3.55222322e+19 -2.21217295e+18
 -1.03914533e+20]"
LinearRegression(),dataset_9,0.5,Non-CV,R2_Score,0.9998102306332097
LinearRegression(),dataset_9,0.5,Non-CV,MSE_Score,3.590148632152617e-05
LinearRegression(),dataset_9,0.5,Non-CV,MAE_Score,3.590148647660605e-05
LinearRegression(),dataset_9,0.5,Non-CV,RMSE_Score,0.005991784902808692
LinearRegression(),dataset_9,0.5,Non-CV,RMSLE_Score,-5.117365930806623
LinearRegression(),dataset_9,0.5,10 Fold-CV,Mean_Score,0.9999049114247617
LinearRegression(),dataset_9,0.5,10 Fold-CV,Min_Score,0.9995245571238086
LinearRegression(),dataset_9,0.5,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_9,0.5,10 Fold-CV,cv_scores,[1.         0.99952456 1.         1.         1.        ]
LinearRegression(),dataset_10,0.5,Non-CV,R2_Score,0.005945365499273381
LinearRegression(),dataset_10,0.5,Non-CV,MSE_Score,0.9926509578225747
LinearRegression(),dataset_10,0.5,Non-CV,MAE_Score,0.7696041152009069
LinearRegression(),dataset_10,0.5,Non-CV,RMSE_Score,0.9963187029372553
LinearRegression(),dataset_10,0.5,Non-CV,RMSLE_Score,-0.003688089712408416
LinearRegression(),dataset_10,0.5,10 Fold-CV,Mean_Score,0.006224217341907834
LinearRegression(),dataset_10,0.5,10 Fold-CV,Min_Score,0.004354107887516667
LinearRegression(),dataset_10,0.5,10 Fold-CV,Max_Score,0.008454237777419937
LinearRegression(),dataset_10,0.5,10 Fold-CV,cv_scores,[0.00435411 0.00845424 0.00709323 0.00484478 0.00637474]
LinearRegression(),dataset_11,0.5,Non-CV,R2_Score,-2.9930157661720525e+23
LinearRegression(),dataset_11,0.5,Non-CV,MSE_Score,2.9887894125265845e+23
LinearRegression(),dataset_11,0.5,Non-CV,MAE_Score,17810104810.516003
LinearRegression(),dataset_11,0.5,Non-CV,RMSE_Score,546698217714.90936
LinearRegression(),dataset_11,0.5,Non-CV,RMSLE_Score,27.02716278276323
LinearRegression(),dataset_11,0.5,10 Fold-CV,Mean_Score,-5.1932466755827787e+23
LinearRegression(),dataset_11,0.5,10 Fold-CV,Min_Score,-1.1523504360787494e+24
LinearRegression(),dataset_11,0.5,10 Fold-CV,Max_Score,-1.6377009811752097e+21
LinearRegression(),dataset_11,0.5,10 Fold-CV,cv_scores,"[-1.63770098e+21 -6.45891573e+23 -7.20452387e+22 -7.24698389e+23
 -1.15235044e+24]"
LinearRegression(),dataset_12,0.5,Non-CV,R2_Score,0.9996875637509944
LinearRegression(),dataset_12,0.5,Non-CV,MSE_Score,0.00031199506653845706
LinearRegression(),dataset_12,0.5,Non-CV,MAE_Score,0.00038292503989575835
LinearRegression(),dataset_12,0.5,Non-CV,RMSE_Score,0.01766338208097354
LinearRegression(),dataset_12,0.5,Non-CV,RMSLE_Score,-4.036261591328274
LinearRegression(),dataset_12,0.5,10 Fold-CV,Mean_Score,0.999992824431539
LinearRegression(),dataset_12,0.5,10 Fold-CV,Min_Score,0.9999642626744382
LinearRegression(),dataset_12,0.5,10 Fold-CV,Max_Score,0.9999999996104212
LinearRegression(),dataset_12,0.5,10 Fold-CV,cv_scores,[0.99999998 0.99996426 1.         0.99999998 0.9999999 ]
LinearRegression(),dataset_1,0.7,Non-CV,R2_Score,0.9999985854947445
LinearRegression(),dataset_1,0.7,Non-CV,MSE_Score,1.4080293587535683e-06
LinearRegression(),dataset_1,0.7,Non-CV,MAE_Score,6.008911731011861e-06
LinearRegression(),dataset_1,0.7,Non-CV,RMSE_Score,0.0011866041289130796
LinearRegression(),dataset_1,0.7,Non-CV,RMSLE_Score,-6.736659724529167
LinearRegression(),dataset_1,0.7,10 Fold-CV,Mean_Score,0.9999999975078324
LinearRegression(),dataset_1,0.7,10 Fold-CV,Min_Score,0.9999999875391626
LinearRegression(),dataset_1,0.7,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_1,0.7,10 Fold-CV,cv_scores,[1.         0.99999999 1.         1.         1.        ]
LinearRegression(),dataset_2,0.7,Non-CV,R2_Score,1.0
LinearRegression(),dataset_2,0.7,Non-CV,MSE_Score,5.30527322250971e-31
LinearRegression(),dataset_2,0.7,Non-CV,MAE_Score,5.731652411887838e-16
LinearRegression(),dataset_2,0.7,Non-CV,RMSE_Score,7.283730652975651e-16
